measurement_node,stimulus amplitude (uA),model,latency (ms),amplitude level
50,2.8480394009181422,rattay_01,2.2759999999999994,1.1285714285714286
50,3.7988855616263297,rattay_01,2.248,1.5053561772642154
50,4.749731722334518,rattay_01,2.236999999999999,1.8821409259570026
50,5.700577883042705,rattay_01,2.2309999999999994,2.258925674649789
50,6.651424043750893,rattay_01,2.227,2.635710423342576
50,7.6022702044590815,rattay_01,2.2239999999999993,3.012495172035363
50,8.553116365167268,rattay_01,2.221,3.38927992072815
50,9.503962525875457,rattay_01,2.2189999999999994,3.766064669420937
50,10.454808686583643,rattay_01,2.216999999999999,4.142849418113723
50,11.405654847291832,rattay_01,2.216,4.519634166806511
100,3.880790489741734,briaire_05,2.0689999999999995,1.1285714285714286
100,5.17643082972235,briaire_05,2.047,1.5053561772642154
100,6.472071169702968,briaire_05,2.037,1.8821409259570023
100,7.767711509683584,briaire_05,2.0309999999999997,2.258925674649789
100,9.063351849664203,briaire_05,2.026,2.635710423342576
100,10.358992189644821,briaire_05,2.0229999999999997,3.012495172035363
100,11.654632529625438,briaire_05,2.02,3.38927992072815
100,12.950272869606053,briaire_05,2.018,3.766064669420937
100,14.24591320958667,briaire_05,2.0159999999999996,4.142849418113723
100,15.54155354956729,briaire_05,2.0149999999999992,4.519634166806512
800,1.942874477931431,smit_10,0.33299999999999996,1.1285714285714286
800,2.591522364433098,smit_10,0.33299999999999996,1.5053561772642154
800,3.240170250934764,smit_10,0.33299999999999996,1.8821409259570023
800,3.8888181374364303,smit_10,0.33299999999999996,2.258925674649789
800,4.537466023938098,smit_10,0.33299999999999996,2.635710423342576
800,5.186113910439764,smit_10,0.33299999999999996,3.012495172035363
800,5.8347617969414305,smit_10,0.33299999999999996,3.38927992072815
800,6.483409683443098,smit_10,0.33299999999999996,3.766064669420937
800,7.132057569944763,smit_10,0.33299999999999996,4.142849418113723
800,7.780705456446431,smit_10,0.33299999999999996,4.519634166806511
800,1.4884060341971257,imennov_09,2.1399999999999997,1.1285714285714286
800,1.9853251297458019,imennov_09,2.1259999999999994,1.5053561772642157
800,2.482244225294478,imennov_09,2.118,1.8821409259570023
800,2.979163320843153,imennov_09,2.1129999999999995,2.258925674649789
800,3.47608241639183,imennov_09,2.11,2.635710423342576
800,3.9730015119405064,imennov_09,2.1079999999999997,3.0124951720353637
800,4.469920607489182,imennov_09,2.1059999999999994,3.38927992072815
800,4.966839703037858,imennov_09,2.105,3.766064669420937
800,5.463758798586533,imennov_09,2.104,4.142849418113723
800,5.96067789413521,imennov_09,2.1029999999999998,4.519634166806511
