model,knoise ratio,relative spread (%)
briaire_05,0.0,0.0
briaire_05,0.2,1.34
briaire_05,0.3,2.05
briaire_05,0.4,2.42
briaire_05,0.5,3.34
briaire_05,0.6,3.59
briaire_05,0.7,5.17
briaire_05,0.8,5.83
briaire_05,0.9,5.48
briaire_05,1.0,6.92
briaire_05,1.25,9.32
briaire_05,1.5,9.66
briaire_05,1.75,11.98
briaire_05,2.0,13.6
briaire_05,2.25,14.09
briaire_05,2.5,18.9
briaire_05,2.75,21.78
briaire_05,3.0,
frijns_94,0.0,0.0
frijns_94,0.2,2.02
frijns_94,0.3,2.72
frijns_94,0.4,4.48
frijns_94,0.5,5.24
frijns_94,0.6,6.27
frijns_94,0.7,6.77
frijns_94,0.8,8.42
frijns_94,0.9,8.3
frijns_94,1.0,10.56
frijns_94,1.25,13.25
frijns_94,1.5,16.51
frijns_94,1.75,15.55
frijns_94,2.0,22.27
frijns_94,2.25,21.3
frijns_94,2.5,24.0
frijns_94,2.75,27.96
frijns_94,3.0,63.53
imennov_09,0.0,0.0
imennov_09,0.2,4.85
imennov_09,0.3,7.29
imennov_09,0.4,12.15
imennov_09,0.5,14.73
imennov_09,0.6,16.19
imennov_09,0.7,20.99
imennov_09,0.8,25.52
imennov_09,0.9,30.08
imennov_09,1.0,26.29
imennov_09,1.25,65.39
negm_14,0.0,0.0
negm_14,0.2,0.87
negm_14,0.3,1.36
negm_14,0.4,1.94
negm_14,0.5,2.39
negm_14,0.6,2.6
negm_14,0.7,2.93
negm_14,0.8,3.59
negm_14,0.9,4.28
negm_14,1.0,5.11
negm_14,1.25,5.35
negm_14,1.5,6.99
negm_14,1.75,7.32
negm_14,2.0,8.92
negm_14,2.25,9.63
negm_14,2.5,12.42
negm_14,2.75,11.88
negm_14,3.0,14.47
negm_14,3.25,14.25
negm_14,3.5,15.34
negm_14,3.75,20.74
negm_14,4.0,15.37
negm_14,4.25,18.53
negm_14,4.5,21.0
negm_14,4.75,23.59
rattay_01,0.0,0.0
rattay_01,0.2,1.18
rattay_01,0.3,1.8
rattay_01,0.4,2.63
rattay_01,0.5,3.16
rattay_01,0.6,3.65
rattay_01,0.7,4.68
rattay_01,0.8,9.3
rattay_01,0.9,14.82
rattay_01,1.0,8.3
rattay_01,1.25,20.4
rattay_01,1.5,19.87
rattay_01,1.75,22.05
rattay_01,2.0,25.1
rattay_01,2.25,30.58
rattay_01,2.5,22.0
rattay_01,2.75,39.62
rattay_01,3.0,43.95
rattay_01,3.25,41.31
rattay_01,3.5,39.06
rattay_01,3.75,36.88
rattay_01,4.0,47.65
rattay_01,4.25,23.62
rattay_01,4.5,53.23
rattay_01,4.75,38.5
smit_09,0.0,0.0
smit_09,0.2,1.34
smit_09,0.3,1.89
smit_09,0.4,2.52
smit_09,0.5,2.93
smit_09,0.6,4.02
smit_09,0.7,4.45
smit_09,0.8,4.81
smit_09,0.9,5.64
smit_09,1.0,6.71
smit_09,1.25,8.54
smit_09,1.5,10.16
smit_09,1.75,12.28
smit_09,2.0,14.61
smit_09,2.25,16.91
smit_09,2.5,17.34
smit_09,2.75,18.95
smit_09,3.0,20.33
smit_09,3.25,19.23
smit_09,3.5,19.26
smit_09,3.75,23.57
smit_09,4.0,25.75
smit_09,4.25,44.65
smit_09,4.5,40.71
smit_09,4.75,56.12
smit_10,0.0,0.0
smit_10,0.2,0.8
smit_10,0.3,1.22
smit_10,0.4,1.66
smit_10,0.5,2.17
smit_10,0.6,2.76
smit_10,0.7,3.05
smit_10,0.8,3.78
smit_10,0.9,3.97
smit_10,1.0,4.45
smit_10,1.25,6.16
smit_10,1.5,7.19
smit_10,1.75,13.47
smit_10,2.0,13.48
smit_10,2.25,18.32
smit_10,2.5,20.09
smit_10,2.75,35.55
smit_10,3.0,31.35
smit_10,3.25,33.73
smit_10,3.5,40.62
smit_10,3.75,44.76
smit_10,4.0,57.77
smit_10,4.25,58.91
smit_10,4.5,42.73
smit_10,4.75,44.99
