model,stimulus length (ms),frequency,threshold (uA)
rattay_01,0.5,1.0,95.48492431640624
rattay_01,2.0,1.0,63.27209472656252
rattay_01,10.0,1.0,63.27209472656252
rattay_01,0.5,2.0,117.05932617187504
rattay_01,2.0,2.0,115.2191162109375
rattay_01,10.0,2.0,115.155029296875
rattay_01,0.5,4.0,218.73321533203128
rattay_01,2.0,4.0,234.10949707031253
rattay_01,10.0,4.0,234.10949707031253
rattay_01,0.5,8.0,464.65759277343767
rattay_01,2.0,8.0,528.4286499023439
rattay_01,10.0,8.0,528.4286499023439
rattay_01,0.5,16.0,1114.4668579101562
rattay_01,2.0,16.0,1233.0734252929688
rattay_01,10.0,16.0,1233.0734252929688
frijns_94,0.5,1.0,252.7496337890625
frijns_94,2.0,1.0,76.7852783203125
frijns_94,10.0,1.0,76.7852783203125
frijns_94,0.5,2.0,83.66546630859375
frijns_94,2.0,2.0,83.6700439453125
frijns_94,10.0,2.0,83.6700439453125
frijns_94,0.5,4.0,98.9959716796875
frijns_94,2.0,4.0,98.9959716796875
frijns_94,10.0,4.0,98.9959716796875
frijns_94,0.5,8.0,131.06231689453128
frijns_94,2.0,8.0,131.06689453125003
frijns_94,10.0,8.0,131.06689453125003
frijns_94,0.5,16.0,192.25158691406253
frijns_94,2.0,16.0,192.25158691406253
frijns_94,10.0,16.0,192.25158691406253
briaire_05,0.5,1.0,559.3780517578126
briaire_05,2.0,1.0,232.71789550781253
briaire_05,10.0,1.0,232.71789550781253
briaire_05,0.5,2.0,259.78546142578125
briaire_05,2.0,2.0,259.85870361328125
briaire_05,10.0,2.0,259.85870361328125
briaire_05,0.5,4.0,322.0413208007813
briaire_05,2.0,4.0,322.0413208007813
briaire_05,10.0,4.0,322.0413208007813
briaire_05,0.5,8.0,470.1919555664064
briaire_05,2.0,8.0,470.2835083007814
briaire_05,10.0,8.0,470.2835083007814
briaire_05,0.5,16.0,851.2435913085936
briaire_05,2.0,16.0,851.2802124023436
briaire_05,10.0,16.0,851.2802124023436
smit_09,0.5,1.0,221.70410156250003
smit_09,2.0,1.0,73.53515625
smit_09,10.0,1.0,73.53515625
smit_09,0.5,2.0,91.2872314453125
smit_09,2.0,2.0,90.765380859375
smit_09,10.0,2.0,90.765380859375
smit_09,0.5,4.0,127.05688476562504
smit_09,2.0,4.0,126.36566162109376
smit_09,10.0,4.0,126.36566162109376
smit_09,0.5,8.0,192.32940673828128
smit_09,2.0,8.0,191.87164306640625
smit_09,10.0,8.0,191.87164306640625
smit_09,0.5,16.0,338.3285522460938
smit_09,2.0,16.0,344.28863525390625
smit_09,10.0,16.0,344.28863525390625
smit_10,0.5,1.0,1419.2367553710938
smit_10,2.0,1.0,67.42401123046875
smit_10,10.0,1.0,57.94830322265626
smit_10,0.5,2.0,95.50323486328124
smit_10,2.0,2.0,80.82275390625001
smit_10,10.0,2.0,80.82275390625001
smit_10,0.5,4.0,157.470703125
smit_10,2.0,4.0,152.97546386718753
smit_10,10.0,4.0,152.97546386718753
smit_10,0.5,8.0,346.636962890625
smit_10,2.0,8.0,353.31115722656256
smit_10,10.0,8.0,353.31115722656256
smit_10,0.5,16.0,842.5323486328125
smit_10,2.0,16.0,843.3380126953125
smit_10,10.0,16.0,843.3380126953125
imennov_09,0.5,1.0,28.971862792968754
imennov_09,2.0,1.0,9.7503662109375
imennov_09,10.0,1.0,9.7503662109375
imennov_09,0.5,2.0,14.840698242187502
imennov_09,2.0,2.0,14.42413330078125
imennov_09,10.0,2.0,14.42413330078125
imennov_09,0.5,4.0,22.81494140625
imennov_09,2.0,4.0,20.828247070312496
imennov_09,10.0,4.0,20.819091796875
imennov_09,0.5,8.0,32.15789794921875
imennov_09,2.0,8.0,28.60107421875
imennov_09,10.0,8.0,28.582763671875004
imennov_09,0.5,16.0,42.1783447265625
imennov_09,2.0,16.0,37.19329833984375
imennov_09,10.0,16.0,37.1612548828125
negm_14,0.5,1.0,815.2450561523436
negm_14,2.0,1.0,219.82727050781253
negm_14,10.0,1.0,219.82727050781253
negm_14,0.5,2.0,281.08520507812506
negm_14,2.0,2.0,255.35888671875009
negm_14,10.0,2.0,255.35430908203136
negm_14,0.5,4.0,352.752685546875
negm_14,2.0,4.0,345.29113769531256
negm_14,10.0,4.0,345.29113769531256
negm_14,0.5,8.0,541.7221069335939
negm_14,2.0,8.0,540.9393310546875
negm_14,10.0,8.0,540.9393310546875
negm_14,0.5,16.0,995.5718994140624
negm_14,2.0,16.0,996.8582153320312
negm_14,10.0,16.0,996.8582153320312
