interpulse interval,minimum required amplitude,threshold
0.0015,0.0,1.6985321044921872e-06
0.001503448275862069,0.0,1.6985321044921872e-06
0.001506896551724138,0.0,1.6985321044921872e-06
0.0015103448275862069,0.0,1.6985321044921872e-06
0.001513793103448276,0.0,1.6985321044921872e-06
0.0015172413793103448,0.0,1.6985321044921872e-06
0.001520689655172414,0.0,1.6985321044921872e-06
0.0015241379310344826,0.0,1.6985321044921872e-06
0.0015275862068965518,0.0,1.6985321044921872e-06
0.0015310344827586207,0.0,1.6985321044921872e-06
0.0015344827586206897,0.0,1.6985321044921872e-06
0.0015379310344827586,0.0,1.6985321044921872e-06
0.0015413793103448278,0.0,1.6985321044921872e-06
0.0015448275862068965,0.0,1.6985321044921872e-06
0.0015482758620689657,0.0,1.6985321044921872e-06
0.0015517241379310344,0.0,1.6985321044921872e-06
0.0015551724137931036,0.0,1.6985321044921872e-06
0.0015586206896551725,0.0,1.6985321044921872e-06
0.0015620689655172415,0.0,1.6985321044921872e-06
0.0015655172413793104,2.034008782356977e-06,1.6985321044921872e-06
0.0015689655172413796,2.0319353789091105e-06,1.6985321044921872e-06
0.0015724137931034483,2.030380326323211e-06,1.6985321044921872e-06
0.0015758620689655175,2.0283069228753446e-06,1.6985321044921872e-06
0.0015793103448275862,2.0267518702894446e-06,1.6985321044921872e-06
0.0015827586206896554,2.024678466841578e-06,1.6985321044921872e-06
0.0015862068965517243,2.0231234142556783e-06,1.6985321044921872e-06
0.0015896551724137932,2.021050010807812e-06,1.6985321044921872e-06
0.0015931034482758622,2.019494958221912e-06,1.6985321044921872e-06
0.0015965517241379313,2.017421554774046e-06,1.6985321044921872e-06
0.0016,2.016384853050113e-06,1.6985321044921872e-06
0.001778947368421053,1.945889135822653e-06,1.6985321044921872e-06
0.0019578947368421055,1.8950907513499257e-06,1.6985321044921872e-06
0.002136842105263158,1.8556960858404633e-06,1.6985321044921872e-06
0.0023157894736842107,1.8245950341224668e-06,1.6985321044921872e-06
0.0024947368421052636,1.7997141927480696e-06,1.6985321044921872e-06
0.002673684210526316,1.7800168599933384e-06,1.6985321044921872e-06
0.0028526315789473683,1.76446633413434e-06,1.6985321044921872e-06
0.003031578947368421,1.7520259134471415e-06,1.6985321044921872e-06
0.003210526315789474,1.7416588962078091e-06,1.6985321044921872e-06
0.0033894736842105264,1.7333652824163434e-06,1.6985321044921872e-06
0.0035684210526315792,1.7266267212107778e-06,1.6985321044921872e-06
0.0037473684210526316,1.7214432125911115e-06,1.6985321044921872e-06
0.003926315789473685,1.7172964056953785e-06,1.6985321044921872e-06
0.004105263157894736,1.7136679496616122e-06,1.6985321044921872e-06
0.004284210526315789,1.7105578444898126e-06,1.6985321044921872e-06
0.004463157894736842,1.7084844410419462e-06,1.6985321044921872e-06
0.0046421052631578945,1.7064110375940797e-06,1.6985321044921872e-06
0.004821052631578947,1.70485598500818e-06,1.6985321044921872e-06
0.005,1.70330093242228e-06,1.6985321044921872e-06
